count,replicate,ordering_fraction,dimension_estimate,longest_chain
64,0,0.529265873015873,1.9238308413712364,15
64,1,0.4836309523809524,2.044274822495379,12
64,2,0.4305555555555556,2.1973411971513674,12
64,3,0.5014880952380952,1.9960367753711132,13
64,4,0.5818452380952381,1.7954391820913913,14
64,5,0.46378968253968256,2.0997036011381667,13
64,6,0.5456349206349206,1.8827643618540022,15
64,7,0.42857142857142855,2.203376686799537,11
64,8,0.4479166666666667,2.1455467183278314,12
64,9,0.5674603174603174,1.829577691801014,15
64,10,0.5476190476190477,1.8778568894909282,12
64,11,0.4399801587301587,2.1690019235245055,12
64,12,0.4955357142857143,2.0119504030102346,13
64,13,0.5431547619047619,1.888919685621003,17
64,14,0.4851190476190476,2.040197173860158,16
64,15,0.4573412698412698,2.1181602201773204,12
64,16,0.41220238095238093,2.25413130751646,11
64,17,0.5069444444444444,1.981590186729904,13
64,18,0.5620039682539683,1.8427132783469546,15
64,19,0.527281746031746,1.928880780399072,13
64,20,0.46378968253968256,2.0997036011381667,12
64,21,0.5783730158730159,1.8036155667447558,17
64,22,0.4871031746031746,2.034776993759899,13
64,23,0.44990079365079366,2.13973968043307,12
64,24,0.44246031746031744,2.1616326989444072,11
64,25,0.49206349206349204,2.021308974409534,14
64,26,0.46081349206349204,2.108194166059487,12
64,27,0.5099206349206349,1.973765916370231,13
64,28,0.4623015873015873,2.1039429545273687,12
64,29,0.5744047619047619,1.8130094014121494,16
64,30,0.3412698412698413,2.497221456536276,9
64,31,0.4211309523809524,2.2262310441132054,14
64,32,0.4816468253968254,2.049728502598605,12
64,33,0.566468253968254,1.831958202798942,13
64,34,0.5059523809523809,1.984206958382022,13
64,35,0.5109126984126984,1.9711664489223415,14
64,36,0.4642857142857143,2.098293104926282,13
64,37,0.41617063492063494,2.2416659195125628,12
64,38,0.5362103174603174,1.9062804857400157,12
64,39,0.5193452380952381,1.949242131136706,15
64,40,0.45882936507936506,2.1138810308665557,13
64,41,0.46577380952380953,2.0940694406872447,15
64,42,0.5515873015873016,1.868086223292108,14
64,43,0.5496031746031746,1.872964214422709,15
64,44,0.5545634920634921,1.8607965238874706,16
64,45,0.408234126984127,2.2667033595624044,11
64,46,0.4419642857142857,2.163103646683981,13
