count,repeats,mean_ordering_fraction,sd_ordering_fraction,mean_dimension,sd_dimension,mean_longest_chain,sd_longest_chain,se_ordering_fraction,se_dimension,normalized_longest_chain
64,100,0.4913789683,0.04631555271,2.028329771,0.127962519,13.02,1.543837538,0.004631555271,0.0127962519,0.81375
128,100,0.5002312992,0.02902465333,2.00128695,0.07758265024,19.27,1.91144876,0.002902465333,0.007758265024,0.8516217296
256,100,0.4969500613,0.02071344088,2.009133348,0.05553432128,27.94,2.019200762,0.002071344088,0.005553432128,0.873125
512,100,0.5001271251,0.01305341414,2.000044271,0.03477868681,40.73,1.802663574,0.001305341414,0.003477868681,0.9000143499
1024,100,0.5007564684,0.01033441648,1.99822412,0.02753751202,59.52,2.794222033,0.001033441648,0.002753751202,0.93
