epsilon_radians,isometry_residual,max_erasure_kl_residual,max_mincut_entropy_deviation_bits
0,0,0,8.881784197e-16
0.01,4.4408920985e-16,0.00583005569038,8.70067288115e-05
0.03,1.11022302463e-16,0.0178275395402,0.000790959261368
0.1,1.11022302463e-16,0.0632652845846,0.00908065378848
0.2,0,0.136732199853,0.0377940706778
0.35,1.11022302463e-16,0.261749501169,0.120794372793
